head_type,tail_type,relation,index
None,None,None,0
工具,工具,工具安装,1
安装方式,工具,安装,2
系统,工具,上面安装,3
命令,工具,编译安装,4
人物,工具,进行安装,5
人物,命令,输入,6
系统名词,工具,使用安装,7
安装方式,链接,参考,8
工具,数字,版本,9
系统名词,数字,版本号,10
系统名词,系统名词,创建或使用关联,11
工具,链接,使用参考,12
人物,系统名词,使用,13
系统名词,链接,详情参考,14
